   87.0000000000 -145.0000000000   65.0000000000
  112.0000000000 -145.0000000000   65.0000000000
  112.0000000000 -145.0000000000   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
   99.5000000000 -123.3493649054   65.0000000000
   99.5000000000 -123.3493649054   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
   74.5000000000 -123.3493649054   65.0000000000
   74.5000000000 -123.3493649054   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
   62.0000000000 -145.0000000000   65.0000000000
   62.0000000000 -145.0000000000   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
   74.5000000000 -166.6506350946   65.0000000000
   74.5000000000 -166.6506350946   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
   99.5000000000 -166.6506350946   65.0000000000
   99.5000000000 -166.6506350946   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

   87.0000000000 -145.0000000000   65.0000000000
  112.0000000000 -145.0000000000   65.0000000000
  112.0000000000 -145.0000000000   55.0000000000
   87.0000000000 -145.0000000000   55.0000000000

